Date,Ret_m_Rf_dvdy
27/10/99,0.011408284
28/10/99,0.034587759
29/10/99,0.015077231
01/11/99,-0.006551934
02/11/99,-0.004789578
03/11/99,0.005253831
04/11/99,0.00560728
05/11/99,0.005487695
08/11/99,0.004869001
09/11/99,-0.008621825
10/11/99,0.005906625
11/11/99,0.005740914
12/11/99,0.01044625
15/11/99,-0.001263865
16/11/99,0.01818218
17/11/99,-0.006679925
18/11/99,0.009969677
19/11/99,-0.002132228
22/11/99,-0.000812642
23/11/99,-0.011604423
24/11/99,0.008750439
26/11/99,-0.00039153
29/11/99,-0.006291162
30/11/99,-0.013597083
01/12/99,0.006244444
02/12/99,0.00798775
03/12/99,0.016992281
06/12/99,-0.007058928
07/12/99,-0.010076838
08/12/99,-0.003839656
09/12/99,0.002929952
10/12/99,0.006243266
13/12/99,-0.001363823
14/12/99,-0.008629563
15/12/99,0.007136015
16/12/99,0.003770195
17/12/99,0.001506031
20/12/99,-0.002149691
21/12/99,0.010680758
22/12/99,0.001803206
23/12/99,0.015268198
27/12/99,-0.000929219
28/12/99,0.000305709
29/12/99,0.003892453
30/12/99,0.000611332
31/12/99,0.003180102
03/01/00,-0.009677465
04/01/00,-0.039181646
05/01/00,0.001837867
06/01/00,0.000872751
07/01/00,0.02664748
10/01/00,0.011045355
11/01/00,-0.013231047
12/01/00,-0.00447849
13/01/00,0.012013775
14/01/00,0.010532293
18/01/00,-0.006937987
19/01/00,0.000439686
20/01/00,-0.007203083
21/01/00,-0.002999039
24/01/00,-0.028105055
25/01/00,0.005964013
26/01/00,-0.00430409
27/01/00,-0.004028674
28/01/00,-0.027923284
31/01/00,0.02482238
01/02/00,0.010485386
02/02/00,-0.000199919
03/02/00,0.011098993
04/02/00,-0.000507488
07/02/00,-0.000177631
08/02/00,0.012112139
09/02/00,-0.021121472
10/02/00,0.003533888
11/02/00,-0.021278654
14/02/00,0.001944532
15/02/00,0.008588593
16/02/00,-0.010395728
17/02/00,0.000338703
18/02/00,-0.030933458
22/02/00,0.004420318
23/02/00,0.006194784
24/02/00,-0.005436085
25/02/00,-0.015026445
28/02/00,0.010870724
29/02/00,0.013448718
01/03/00,0.009223533
